Tunniste	English	Finnish	Vosa
2677	electrodynamics	elektrodynamiikka	 ipsähuopoda
2678	electrodynamics	sähködynamiikka	 sähuopoda
2679	biorhythmics	biorytmiikka	 biorytmda
2680	mechanics	mekaniikka	 mekanda
2681	quantum mechanics	kvanttimekaniikka	 kvantmekanda
2682	celestial mechanics	taivaanmekaniikka	 yllomekanda
2683	precision mechanics	hienomekaniikka	 väkamekanda
2684	civil engineering	maarakennusmekaniikka	 moltooltemekanda
2685	botany	botaniikka	 epda
2686	technique	tekniikka	 tekda
2687	analog technology	analogiatekniikka	 lireobtekda
2688	electrical power engineering	sähkövoimatekniikka	 sähpotekda
2689	military technology	sotatekniikka	 siptekda
2690	stream of consciousness technique	tajunnanvirtatekniikka	 dafituotekda
2691	security technology	turvatekniikka	 turtekda
2692	semiconductor technology	puolijohdetekniikka	 duiksähdirmotekda
2693	speech technology	puhetekniikka	 sasatekda
2694	telecommunications	teletekniikka	 fartusatekda
2695	traffic engineering	liikennetekniikka	 tustatekda
2696	computer technology	tietokonetekniikka	 davötekda
2697	aeronautical engineering	lentokonetekniikka	 huvötekda
2698	offshore technology	offshoretekniikka	 lafovamlotekda
2699	weapons technology	asetekniikka	 sipvotekda
2700	digital technology	digitaalitekniikka	 kasiötekda
2701	genetic engineering	geenitekniikka	 gentekda
2702	sound engineering	äänitekniikka	 hötekda
2703	marine technology	meritekniikka	 fovamlotekda
2704	mining technology	vuoritekniikka	 pimöyltekda
2705	collage technique	kollaasitekniikka	 vipatötotekda
2706	robotics	robottitekniikka	 vöjotekda
2707	row technique	rivitekniikka	 leijärtekda
2708	HVAC technology	LVI-tekniikka	 LVT-tekda
2709	home technology	kodintekniikka	 baltekda
2710	nuclear technology	ydintekniikka	 ydintekda
2711	brush technique	sivellintekniikka	 heörpavotekda
2712	video technology	videotekniikka	 kahötotekda
2713	geotechnics	geotekniikka	 moltekda
2714	biotechnology	biotekniikka	 biotekda
2715	radio technology	radiotekniikka	 hödavötekda
2716	driving technique	ajotekniikka	 katuotekda
2717	galvanotechnology	galvanotekniikka	 moTsnpatekda
2718	printing technology	painotekniikka	 polykirtekda
2719	printing technology	kirjapainotekniikka	 kirtolötekda
2720	microtechnology	mikrotekniikka	 fosiktekda
2721	pyrotechnics	pyrotekniikka	 rosbönsuuttekda
2722	small-cycle technology	pienjaksotekniikka	 ipveivnotekda
2723	information technology	tietotekniikka	 datekda
2724	production technology	tuotantotekniikka	 tootekda
2725	aeronautical engineering	lentotekniikka	 huotekda
2726	sound technology	äänentoistotekniikka	 pödutetakda
2727	playing technique	soittotekniikka	 höövtekda
2728	thin film technology	ohutkalvotekniikka	 tinlaototekda
2729	servo technology	servotekniikka	 auttejuspatekda
2730	laser technology	lasertekniikka	 laserkatiktekda
2731	municipal engineering	kunnallistekniikka	 diltekda
2732	audio editing technology	äänenmuokkaustekniikka	 pökaumuutekda
2733	painting technique	maalaustekniikka	 kämootekda
2734	measurement technology	mittaustekniikka	 pipriatekda
2735	photographic technique	valokuvaustekniikka	 katkatoaptekda
2736	construction technology	rakennustekniikka	 toltekda
2737	hydraulic engineering	vesirakennustekniikka	 vamtooltekda
2738	shipbuilding technology	laivanrakennustekniikka	 vuvötooltekda
2739	road construction technology	tienrakennustekniikka	 tultooltekda
2740	sound recording technology	äänentallennustekniikka	 pönoturpatekda
2741	conference technology	kokoustekniikka	 visahäptekda
2742	delivery technology	toimitustekniikka	 fätogatekda
2743	lighting technology	valaistustekniikka	 kaattekda
2744	manufacturing technology	valmistustekniikka	 tootekda
2745	low frequency technology	pientaajuustekniikka	 iptihritekda
2746	high-frequency technology	suurtaajuustekniikka	 pitihritekda
2747	space technology	avaruustekniikka	 kitiltekda
2748	recording technology	äänitystekniikka	 höslootekda
2749	high-tech	huipputekniikka	 ylsttekda
2750	farming technology	viljelytekniikka	 viiltekda
2751	refrigeration technology	kylmätekniikka	 kaltekda
2752	communication technology	viestintätekniikka	 tusaatekda
2753	electrical engineering	sähkötekniikka	 sähtekda
2754	environmental technology	ympäristötekniikka	 raulotekda
2755	control technology	säätötekniikka	 juspatekda
2756	mechatronics	mekatroniikka	 mekansähda
2757	electronics	elektroniikka	 ipsähda
2758	bioelectronics	bioelektroniikka	 bioipsähda
2759	microelectronics	mikroelektroniikka	 fosikipsähda
2760	optoelectronics	optoelektroniikka	 linsipsähda
2761	consumer electronics	kulutuselektroniikka	 tetoriipipsähda
2762	rhetoric	retoriikka	 sasavoda
2763	physique	fysiikka	 fysda
2764	high-energy physics	suurenergiafysiikka	 piporifysda
2765	plasma physics	plasmafysiikka	 plasmofysda
2766	metaphysics	metafysiikka	 obessyeovisda
2767	atomic physics	atomifysiikka	 moikfysda
2768	quantum physics	kvanttifysiikka	 kvantfysda
2769	nuclear physics	ydinfysiikka	 ydinfysda
2770	geophysics	geofysiikka	 molfysda
2771	biophysics	biofysiikka	 biofysda
2772	astrophysics	astrofysiikka	 kitilfysda
2773	cryophysics	kryofysiikka	 kalfysda
2774	agricultural physics	maanviljelysfysiikka	 molviilfysda
2775	radiation physics	säteilyfysiikka	 katiikfysda
2776	cold physics	kylmäfysiikka	 kalfysda
2777	problematic	problematiikka	 ongda
2778	telematics	telematiikka	 fartusapiprida
2779	kinematics	kinematiikka	 pipriuoda
2780	thematics	tematiikka	 obsoda
2781	mathematics	matematiikka	 risoda
2782	statistical mathematics	tilastomatematiikka	 nodarisoda
2783	actuarial science	vakuutusmatematiikka	 roturrisoda
2784	systematics	systematiikka	 lijärda
2785	pragmatics	pragmatiikka	 liotevoida
2786	dogmatism	dogmatiikka	 usdavda
2787	automatism	automatiikka	 autteda
2788	informatics	informatiikka	 obdafada
2789	numismatics	numismatiikka	 rovda
2790	pneumatics	pneumatiikka	 ögpohomda
2791	statics	statiikka	 talhevrida
2792	electrostatics	sähköstatiikka	 sähtalhevrida
2793	ethics	etiikka	 rattarda
2794	exegesis	eksegetiikka	 uskirtoklirsada
2795	professional ethics	ammattietiikka	 votörattarda
2796	cosmetics	kosmetiikka	 kahakeda
2797	natural cosmetics	luonnonkosmetiikka	 biokahakeda
2798	arithmetic	aritmetiikka	 risodav
2799	genetics	genetiikka	 genda
2800	kinetics	kinetiikka	 uoda
2801	medical ethics	lääkärinetiikka	 diterjo rattarda
2802	phonetics	fonetiikka	 sahöda
2803	cybernetics	kybernetiikka	 mämvöcuda
2804	bioethics	bioetiikka	 biorattarda
2805	poetics	poetiikka	 sikausadav
2806	dietetics	dietetiikka	 emvaotoda
2807	aesthetics	estetiikka	 kavkada
2808	didactics	didaktiikka	 padavda
2809	semantics	semantiikka	 obmarkda
2810	robotics	robotiikka	 vöjoda
2811	semiotics	semiotiikka	 tusamarkda
2812	exoticism	eksotiikka	 farhamida
2813	asepsis	aseptiikka	 ejfosikpeda
2814	optics	optiikka	 linsda
2815	crystal optics	kideoptiikka	 kidlinsda
2816	electron optics	elektronioptiikka	 ipsählinsda
2817	fiber optics	kuituoptiikka	 fibmolinsda
2818	fiber optics	lasikuituoptiikka	 glafibmolinsda
2819	logistics	logistiikka	 gagda
2820	forensics	kriminalistiikka	 pösorekdakadav
2821	journalism	journalistiikka	 daoteeda
2822	orientalism	orientalistiikka	 tevhylvosliedaka
2823	English studies	anglistiikka	 engdä
2824	stylistics	stilistiikka	 tyldav
2825	ballistics	ballistiikka	 obhudä
2826	short story	novellistiikka	 ipkakirda
2827	Romance studies	romanistiikka	 romanvosdaka
2828	German studies	germanistiikka	 germvosliedaka
2829	Fennistics	fennistiikka	 finvosdaka
2830	Ugricism	ugristiikka	 ugrvoshyjdaka
2831	Fenno-Ugric studies	fennougristiikka	 finugrvoshyjdaka
2832	folklore	folkloristiikka	 hylenliodaka
2833	Russian studies	russistiikka	 rusvosliedaka
2834	statistics	statistiikka	 nodaridä
2835	Slavic studies	slavistiikka	 slavvoslieda
2836	linguistics	lingvistiikka	 vosdä
2837	text linguistics	tekstilingvistiikka	 kirvosdä
2838	sociolinguistics	sosiolingvistiikka	 sosvosdä
2839	psycholinguistics	psykolingvistiikka	 mistahäpvoscudaka
2840	neurolinguistics	neurolingvistiikka	 daevvosdä
2841	forensic linguistics	oikeuslingvistiikka	 ratafvosdä
2842	diagnostics	diagnostiikka	 retkada
2843	X-ray diagnostics	röntgendiagnostiikka	 eks-katikretkada
2844	acoustics	akustiikka	 tilhöda
2845	room acoustics	huoneakustiikka	 tolikhöda
2846	building acoustics	rakennusakustiikka	 tolhöda
2847	electroacoustics	sähköakustiikka	 sähhöda
2848	astronautics	astronautiikka	 kitilhuuda
2849	analytics	analytiikka	 rorikada
2850	learning	oppi	 dav
2851	shooting lessons	ampumaoppi	 suutdav
2852	heraldry	vaakunaoppi	 pöermarkdav
2853	commodity theory	tavaraoppi	 fäftodav
2854	social studies	yhteiskuntaoppi	 visoslodav
2855	poetic meter	runomittaoppi	 kausapipridav
2856	cartography	karttaoppi	 kalotodav
2857	urban planning	asemakaavaoppi	 culokasotodav
2858	crystallography	kideoppi	 kiddav
2859	speech therapy	puheoppi	 sasadav
2860	business studies	liikeoppi	 uodav
2861	pharmacology	lääkeaineoppi	 termodav
2862	phonetics	äänneoppi	 sahödav
2863	syntax	lauseoppi	 lusadav
2864	methodology	metodioppi	 liodav
2865	signology	merkkioppi	 markdav
2866	grammar	kielioppi	 vosdav
2867	school grammar	koulukielioppi	 davlovosdav
2868	metallurgy	metallioppi	 metdav
2869	stylistics	tyylioppi	 tyldav
2870	atomic theory	atomioppi	 moikdav
2871	rhythm theory	rytmioppi	 rytmdav
2872	phonics	äänioppi	 hödav
2873	typology	tyyppioppi	 typdav
2874	color theory	värioppi	 kädav
2875	finance	finanssioppi	 rovdav
2876	pathology	tautioppi	 retdav
2877	otology	korvatautioppi	 höevretdav
2878	plant pathology	kasvitautioppi	 epretdav
2879	pediatrics	lastentautioppi	 ipmämretdav
2880	andrology	miestentautioppi	 märetdav
2881	gynecology	naistentautioppi	 ämretdav
2882	cardiology	sydäntautioppi	 hemoevretdav
2883	dermatology	ihotautioppi	 laevretdav
2884	neurology	hermotautioppi	 nervretdav
2885	internal medicine	sisätautioppi	 inoretdav
2886	gemology	jalokivioppi	 väkamdav
2887	botany	kasvioppi	 epdav
2888	jurisprudence	lainoppi	 pösodav
2889	oncology	kasvainoppi	 pirevdav
2890	Christianity	kristinoppi	 kristdav
2891	zoology	eläinoppi	 pedav
2892	doctrinal	uskonoppi	 usdav
2893	natural science	luonnonoppi	 biolodav
2894	combinatorics	kombinaatio-oppi	 visipadav
2895	political science	valtio-oppi	 pöhyldav
2896	separation of powers doctrine	vallanjako-oppi	 pöiikdav
2897	group theory	joukko-oppi	 siodav
2898	light theory	valo-oppi	 katdav
2899	epistemology	tieto-oppi	 dadav
2900	management theory	johto-oppi	 diirdav
2901	administrative science	hallinto-oppi	 pötedav
2902	nutrition	ravinto-oppi	 roemdav
2903	morphology	muoto-oppi	 kaudav
2904	climatology	ilmasto-oppi	 homstadav
2905	vocabulary	sanasto-oppi	 sisatodav
2906	rationalism	järkeisoppi	 visusdav
2907	doctrine of justification	vanhurskauttamisoppi	 ushamuudav
2908	creationism	luomisoppi	 novtedav
2909	genealogy	polveutumisoppi	 autsihaardav
2910	tissue theory	kudosoppi	 vivevdav
2911	metrology	mittausoppi	 pipriapdav
2912	surveying	maanmittausoppi	 molpipriapdav
2913	forensic science	rikostutkimusoppi	 pösorekdakadav
2914	poetics	runousoppi	 sikausadav
2915	basic doctrine	perusoppi	 besdav
2916	virology	virusoppi	 virdav
2917	education	kasvatusoppi	 haeöpiirdav
2918	teaching doctrine	opetusoppi	 padavdav
2919	atonement	sovitusoppi	 tehasopdav
2920	information theory	tiedotusoppi	 dafaadav
2921	doctrine of redemption	lunastusoppi	 öfäfdav
2922	pharmaceutical science	lääkkeenvalmistusoppi	 termotoodav
2923	accidence	taivutusoppi	 sakaudav
2924	strength theory	lujuusoppi	 ögpovaodav
2925	divinity	jumaluusoppi	 hajovaodav
2926	Trinity doctrine	kolminaisuusoppi	 vitrevaodav
2927	ethics	siveysoppi	 cuhahvaodav
2928	health education	terveysoppi	 terdav
2929	evolutionary theory	kehitysoppi	 eodevdav
2930	semantics	merkitysoppi	 obmarkdav
2931	biblical exegesis	raamatunselitysoppi	 uskirtoklirsadav
2932	diagnostics	taudinmääritysoppi	 retdeefdav
2933	seismology	maanjäristysoppi	 molpitärdav
2934	obstetrics	synnytysoppi	 tenöedav
2935	arithmetic	laskuoppi	 risodav
2936	cell biology	soluoppi	 soldav
2937	chord	sointuoppi	 cöyhdav
2938	racial doctrine	rotuoppi	 evaodav
2939	computer science	tietojenkäsittelyoppi	 dasicutedav
2940	methodology	menetelmäoppi	 culitedav
2941	electrical engineering	sähköoppi	 sähdav
2942	thermodynamics	lämpöoppi	 lakdav
2943	journalism	lehdistöoppi	 sidapaprdav
2944	environmental science	ympäristöoppi	 raulodav
2945	skill	taito	 livote
2946	artistic talent	kuvaamataito	 katolivote
2947	swimming skills	uimataito	 vuulivote
2948	oratory	puhetaito	 sasalivote
2949	language skills	kielitaito	 voslivote
2950	engineering skills	insinööritaito	 tekdajolivote
2951	workmanship	ammattitaito	 votölivote
2952	driving skills	ajotaito	 katuo livote
2953	typography	kirjapainotaito	 kirtolölivote
2954	know-how	tietotaito	 dalivote
2955	flying skill	lentotaito	 huolivote
2956	cooking skills	ruoanlaittotaito	 emtoolivote
2957	cooking skills	keittotaito	 kuulivote
2958	musical skill	soittotaito	 höövlivote
2959	statesmanship	valtiomiestaito	 pöhylmälivote
2960	civics	kansalaistaito	 hyjjolivote
2961	photography skills	kuvaamistaito	 katoolivote
2962	leadership	johtamistaito	 diirlivote
2963	imitation skill	matkimistaito	 liteelivote
2964	performance skills	esiintymistaito	 autedtukalivote
2965	literacy	kirjoitustaito	 kiirlivote
2966	drawing skills	piirustustaito	 kateelivote
2967	presentation skills	esitystaito	 edtukalivote
2968	seamanship	merenkulkutaito	 fovamtuolivote
2969	literacy	lukutaito	 riiklivote
2970	music reading skills	nuotinlukutaito	 rohökariiklivote
2971	internal reading skills	sisälukutaito	 inoriiklivote
2972	conversational skills	keskustelutaito	 visasalivote
2973	singing ability	laulutaito	 hösalivote
2974	expressiveness	ilmaisutaito	 kautsalivote
2975	organizational skills	järjestelytaito	 sijäärlivote
2976	argumentative skills	väittelytaito	 lijesaalivote
2977	skill	erätaito	 vildmollivote
2978	 craftsmanship	käsityötaito 	 pavetölivote
2979	What are you or something like, would you like to be or something should be, would you not like to be or something should not be?	Millainen olet tai jokin on, haluaisit olla tai jonkin pitäisi olla, et haluaisi olla tai jonkin ei pitäisi olla?	 Kova ja oo taj ö oo, ja ofraaif oo taj ö piitif oo, ja ej ofraaif oo taj ö ej piitif oo?
2980	There is always room for change, development, and improvement.	Aina on muutokselle, kehitykselle sijaa ja parantamisen varaa.	Kina oo tu temuo, dev culo a hapiirte res. 
