English150Char	Finnish150Char	VosaTevos150Char
He briefly told about his trip.	Hän kertoi lyhyesti matkastaan.	Hä öbsasaaen ulli häof rotuo.
Did you understand what I mean?	Ymmärsitkö, mitä minä tarkoitan?	Dakavooenko ja, ko aj obmaark?
Could you please try to explain in more detail!	Yrittäisittekö selittää tarkemmin!	Traaifko jasi klirsaa tarkpirli!
You have no right to speak like that.	Teillä ei ole oikeutta puhua noin.	Jasi ej oof rataf sasaa ätli.
Can you say this way?	Voiko sanoa näin?	Vooko sasaa täli?
I'll give you a straight answer.	Annan teille suoran vastauksen.	Aj faa tu jasi reiva ookte.
Think first and then answer.	Ajattele ensin ja sitten vastaa.	Soo ja isvana a itne ook.
Who is the man who talked with you?	Kuka se mies on, joka puhui Teidän kanssanne?	Kojo it mä oo, kojo sasaaen vi Jasi?
It is interesting to discuss artificial languages with him.	Hänen kanssaan on mielenkiintoista keskustella keinotekoisista kielistä.	Vi hä oo ruhamiva visasaa öb tevossi.
Did you talk to the manager about this?	Puhuitteko tästä johtajan kanssa?	Sasaaenko jasi öb tä vi diirjo?
He didn't talk to us.	Hän ei puhunut meidän kanssamme.	Hä ej sasaaen vi ajsi.
Don't yell, speak calmly!	Älä huuda, puhu rauhallisesti!	Ej sää, sasaa pisli.
Speak louder, I'm hearing badly!	Puhukaa kovempaa, kuulen huonosti!	Sasaa jasi höpirli, aj vohöö ahvoli!
Could you repeat what you said!	Voisitteko toistaa, mitä sanoitte!	Vooifko ja dusaa ko jasi sasaaen!
Let's talk another time!	Puhutaan toisella kertaa!	Sasaata na duva isno!
Let's talk about this at the dinner table!	Puhutaan tästä päivällispöydässä!	Sasaata öb tä tut tanem laos!
We can continue our discussion tomorrow.	Voimme jatkaa keskusteluamme huomenna.	Ajsi voo pirtuu ajsiof visasa detanna.
We still have to talk about this.	Meidän on vielä puhuttava tästä.	Ajsi oo pirnen sasaa öb tä.
It's better not to talk about this.	On parempi olla puhumatta tästä.	Oo hapir oo sasaaejli öb tä.
Finns are low-talking people.	Suomalaiset ovat vähäpuheista väkeä.	Finjosi oo iprisasaava jori.
It's not worth talking to him about this.	Hänen kanssaan ei kannata puhua tästä.	Vi hä ej rogöö sasaa öb tä.
MEETING	KOKOUS	VISAHÄP
The seminar is in July.	Seminaari on heinäkuussa.	Pidavhäp oo na sevhyn.
It is in our best interest to get together in time.	Meidän etujemme mukaista on kokoontua ajoissa.	Vili ajof edrosi oo relotuu haedna.
Were you in the defenders of peace congress?	Olitteko te rauhanpuolustajien kongressissa?	Ooenko jasi in pisgöjosi edpösio?
We were in an international congress.	Olimme kansainvälisessä kongressissa.	Ajsi ooen in hyjsivälva edpösio.
When will we be given the floor?	Milloin meille annetaan puheenvuoro?	Kona le ajsi faa sasa altno?
What do you suggest?	Mitä te ehdotatte?	Ko jasi tajsaa?
You must answer that question!	Teidän on vastattava tuohon kysymykseen!	Jasi piit ook tu ät koote!
That is the question.	Siitähän juuri onkin kysymys.	Öb it a oo a jusli koote.
Before resolving this issue, talk to Veikko!	Ennen kuin ratkaistaan tämä kysymys, keskustele Veikon kanssa!	En na gnoota tä koote, visasaa vi Veikko.
In the end, we reached agreement on everything.	Lopultakin pääsimme kaikesta sopimukseen.	Nöna a ajsi aftuuen ob ki visopto.
OPINION	MIELIPIDE	MICU
Do you want to know my opinion?	Haluatteko tietää minun mielipiteeni?	Ofraako jasi daa ajof micu?
That is our common opinion.	Se on meidän yhteinen mielipiteemme.	It oo ajsiof viofva micu.
I think that you are wrong.	Olen sitä mieltä, että olet väärässä.	Aj oo it mi, syt ja oo intar.
It is generally believed that Finnish furniture is good.	Yleisesti ollaan sitä mieltä, että suomalaiset huonekalut ovat hyviä.	Tihnali oota it mi, syt finva tolossi oo hava.
Many people think that St Petersburg is the most beautiful city in Europe.	Monet ovat sitä mieltä, että Pietari on Euroopan kaunein kaupunki.	Si oo it mi, syt Petersburg oo Eurlo-of kast taunlo.
Do you agree?	Oletteko samaa mieltä?	Ooko jasi re mi.
You are right, I agree with you.	Olette oikeassa, olen kanssanne samaa mieltä.	Jasi oo inrat, aj oo vi jasi re mi.
Don't mind going there.	Ei ole mieltä mennä sinne.	Ej oo mi tuu itle.
They suggested we travel together.	He ehdottivat, että matkustaisimme yhdessä.	Häsi tajsaaen, syt ajsi rotuuif vi.
It's my business.	Se on minun oma asiani.	It oo ajof so.
I am in favour of Matti. I am on Matti's side.	Olen Matin puolella.	Aj göö Matti.
The video is bad, don't watch it.	Video on huono, ei kannata katsoa sitä.	Kahöto oo ahvova, ej rogöö kaa it.
It was a great performance.	Se oli erinomainen esitys.	It ooen erhava edtuka.
What kind of service is here?	Minkälainen palvelu täällä on?	Kova seerte täla oo?
Generally speaking, no reproach.	Yleisesti ottaen ei moittimista.	Tihnali aapli ej öbahsaa.
What do you recommend?	Mitä Te suosittelette?	Ko Jasi hapirsaa?
It doesn't matter to me.	Se on minulle yhdentekevää.	It oo le aj reteeva.
Does not matter.	Ei ole väliä.	Ej curoo.
What's more, no rain is coming.	Vielä mitä, mitään sadetta ei tule.	Pirnen ko, ejö vamly uut.
Actually not that either, pretty well.	Oikeastaan ei sen kummemmin, aika hyvin.	Ratli a ej it kaeröpirli, rafli hali.
GRANTING / PROHIBITION	MYÖNTÖ / KIELTO	JEETE / EEJTE
Did you accept our proposal?	Hyväksyittekö te ehdotuksemme?	Hafaaenko jasi ajsiof tajsa?
Does anyone object?	Eikö kukaan vastusta?	Ejko kojo öög?
I'm not personally against it.	En ole henkilökohtaisesti sitä vastaan.	Aj ej oo hojoiploli ög it.
Let's do that.	Tehdään niin.	Teeta itli.
Let's agree!	Sovitaan niin!	Visoopta itle!
Agreed!	Sovittu!	Visoopen!
In the end, he agreed.	Loppujen lopuksi hän suostui.	Mu önsi ön hä hafatuuen.
RIGHT # WRONG	OIKEA # VÄÄRÄ	RATVA # TARVA
He's probably right.	Hän on mahdollisesti oikeassa.	Hä oo voli inrat.
He is indeed right.	Hän on todellakin oikeassa.	Hä oo rilli a inrat.
I think he's right.	Luulen, että hän on oikeassa.	Aj mejuus, syt hä oo inrat.
I don't know who's right, who's wrong.	En tiedä, kuka on oikeassa, kuka väärässä.	Aj ej daa, kojo oo inrat, kojo intar.
Now understand that you are wrong!	Ymmärrä nyt, että sinä olet väärässä!	Dakavoo ja nen, syt ja oo intar!
That's right.	Sen on aivan oikein.	It oo fulli ratli.
That's right, I was it.	Aivan oikein, minä se olin.	Fulli ratli, aj it ooen.
He's doing the wrong thing.	Hän tekee kaiken väärinpäin.	Hä tee ki tarögli.
He does everything wrong.	Hän tekee kaiken väärin.	Hä tee ki tarli.
I took the wrong coat.	Otin väärän takin.	Aj aapen tarva ylluvat.
You seem to be mistaken.	Te olette nähtävästi erehtynyt.	Jasi oo vokaali soviiken.
When I speak in Russian, I still make a lot of mistakes.	Kun puhun venäjää, teen vielä paljon virheitä.	Na aj sasaa rus, aj tee pirnen siri soviksi.
RELIGION, MORAL	USKONTO, MORAALI	USIDE, CUHAH
It's downright incredible!	Se on suorastaan uskomatonta!	It oo reisyli uusejva!
I don't believe your words.	En usko sanojasi.	Aj ej uus jasi sasi.
Can you keep your words?	Voitko pitää sanasi?	Vooko ja paoo jasi sasi?
He is an honest person.	Hän on rehellinen ihminen.	Hä oo rilhava mäm.
This is a Lutheran church.	Tämä on luterilainen kirkko.	Tä oo lutherusva ustol.
explore the famous Cathedral	tutustua kuuluisaan tuomiokirkkoon	vikadaa dahonva roustol.
pray to god	rukoilla Jumalaa	usteaaf Hajo
to believe in God	uskoa Jumalaan	uus Hajo
every day of the Creator	joka Luojan päivä	ki Novteejo tan
live like a monk	elää kuin munkki	ee li usofmäjo
to be wicked, unbelieving and self-righteous	olla jumalaton, epäuskoinen ja omavanhurskas	oo hajoejva, ejuusjo a autushava
a firm believer	lujasti uskova henkilö	ögpoli uusva hojo
to remember past sins	muistella menneitä syntejä	sitesöö tuuen ahosi
apologize for his mistakes	pyytää aneeksi virheitään	teaaf ahhafali häof soviksi
forgive from the heart	antaa anteeksi sydämestä	faa ahhafali ur hemoev
to proclaim the absolution	julistaa synninpäästö	dihsasaa ahofapa
confess his sins	tunnustaa syntinsä	görilsaa ahosi
Interpret the Bible in the light of the Holy Spirit.	Tulkita raamattua Pyhän Hengen valossa.	Lidakavoo uskirto in Pyhva Ho kat.
The church sings hymns.	Seurakunta laulaa virsiä.	Usjosio hösaa ushösasi.
The priest preaches the law and the gospel.	Pappi saarnaa lakia ja evankeliumia.	Ussajo ussasaa pöso a rossa.
JOY # SORROW	ILO # SURU	ROS # SOR
We had a lot of fun.	Meillä oli hyvin hauskaa.	Aj oofen hali hehobva.
During the Russian class we always have fun.	Venäjän tunnilla meillä on aina hauskaa.	La rus din ajsi oof kina hehobva.
Well, what was it like, fun or?	No millaista siellä oli, hauskaa vai?	Noa kova itla ooen, hehobva taj?
How happy I am!	Kuinka olenkaan iloinen!	Koli aj oo a rosva!
The fairy tale has a happy ending.	Sadussa on onnellinen loppu.	Feösa oof sakva ön.
What are you laughing at?	Mitä sinä naurat?	Ko ja hehee?
We laughed so sweetly.	Nauroimme niin makeasti.	Ajsi hehee-en itli suitli.
Why are you smiling?	Miksi Te hymyilette?	Kosy Ja hee?
Don't cry, everything will pass.	Älä itke, kaikki menee ohi.	Ej eeh ja, ki tuu sidut.
Why do you look so sad today, has something unfortunate happened?	Miksi olette tänään niin surullisen näköinen, onko sattunut jotain ikävää?	Kosy ja oo tätanna itli sorva likava, ooko saaten ö sakejva?
Do you miss it here?	Onko Teillä täällä ikävää?	Oofko Ja täla luejrava.
We had a wonderful time.	Meillä oli ihanaa.	Ajsi oofen fainkava.
LIKING	PITÄMINEN	ÖBRAATE
What do you like about Moscow?	Mitä pidätte Moskovasta?	Ko jasi öbraa Moskov?
Do you like our city?	Pidättekö meidän kaupungistamme?	Öbraako jasi ajsiof taun?
He is absolutely in love with this city.	Hän on kerrassaan ihastunut tähän kaupunkiin.	Hä oo isna a autfainkaaen ob tä taun.
Do you like traveling?	Pidättekö te matkustelemisesta?	Öbraako jasi rotuu?
Well did you like the song?	No pidittekö laulusta?	Noa öbraaenko jasi hösa?
Which one do you prefer a skirt or pants?	Kummasta pidätte enemmän hameesta vai housuista?	Dutajko jasi öbraa pir skötvat taj harvat?
I love him.	Rakastan häntä.	Aj raa hä.
He likes fishing.	Hän pitää kalastamisesta.	Hä öbraa fiis.
I don't like swimming in the ocean.	En pidä meressä uimisesta.	Aj ej öbraa in fovamlo vuu.
I do not like this.	En pidä tästä.	Aj ej öbraa tä.
What did you like the most?	Mikä teitä miellytti kaikkein eniten?	Ko jasi mihaaen kiob pist?
She likes to travel by train.	Hän matkustaa mielellään junalla.	Hä rotuu mihali vy fetuvö.
Do you enjoy watching hockey?	Katseletko mielelläsi jääkiekkoa?	Sikaako ja mihali kalmraunit?
Do you enjoy traveling by boat?	Matkustatteko mielellänne laivalla?	Rotuuko jasi mihali vy vuvö?
Let's go preferably to the cafe!	Mennään mieluummin kahvilaan!	Tuuta mihapirli intu kofvemlo!
We have a nice room.	Meillä on mukava huone.	Ajsi oof hamiva tolik.
Well done, but not today.	Mielihyvin, mutta ei tänään.	Mihali, mut ej tätanna.
Don't want to sing today.	Tänään ei haluta laulaa.	Tätanna ej ofraa hösaa.
Not particularly.	En erityisemmin.	Aj ej eröpirli.
This is a very popular song these days.	Tämä on hyvin suosittu kappale nykyään.	Tä oo hali hapircueen öik nenna.
Which author do you have the most popular with today?	Mikä kirjailija teillä on nykyään kaikkein suosituin?	Kojo rokiirjo jasi oof nenna kiob hapircust?
INTEREST	MIELENKIINTO	RUHAMI
This book is more interesting than that.	Tämä kirja on mielenkiintoisempi kuin tuo.	Tä kirto oo ruhamipir il ät.
That's really interesting.	Sepä on todella mielenkiintoista.	It a oo rilli ruhamiva.
We watched the show with interest.	Katselimme esitystä mielenkiinnolla.	Ajsi kaaen edtuka vi ruhami.
This is a very interesting case.	Se on hyvin mielenkiintoinen tapaus.	It oo hali ruhamiva obhäp.
Look, there is an interesting book!	Katsokaa, tuossa on mielenkiintoinen kirja!	Kaa jasi, ätin oo ruhamiva kirto.
The theme of the evening is interesting.	Illan aihe on mielenkiintoinen.	Ennat obso oo ruhamiva.
What is he interested in?	Mistä hän on kiinnostunut?	Koöb hä oo ruhamiien?
It doesn't interest me.	Se ei kiinnosta minua.	It ej ruhamii ja.
He is interested in everything.	Hän on kaikesta kiinnostunut.	Hä öb ki ruhamii.
EXPRESSIONS OF EMOTION	TUNTEENILMAISUJA	FI KAUTSASI
Oh how great!	Voi miten hienoa!	Voi koli väkava!
Oh how fun!	Voi miten hauskaa!	Voi koli hehobva!
Yes he did!	Kylläpäs onnisti!	Je a saaken.
Great!	Hienoa!	Väkava!
Excellent!	Erinomaista!	Erhava!
Unbelievable!	Uskomatonta!	Uusejva!
Really?	Ihanko totta?	Fulliko daril?
What are you talking about!	Mitä sinä oikein puhut!	Ko ja ratli sasaa!
This can not be true!	Ei voi olla totta!	Ej voo oo daril.
It hurts everything!	Sitä sattuu kaikenmoista!	It saat kiliva!
No biggie!	Pikkujuttu!	Ipva öbsasa!
Nonsense!	Hölynpölyä!	Ejvisda!
Don't be ashamed of you!	Eikö sinua yhtään hävetä!	Ejko ja ejri nohyys?
That's not right!	Noin ei sovi tehdä!	Ätli ej soop tee!
How shameless!	Miten hävytöntä!	Koli nohejva!
SATISFACTION, CARE	TYYTYVÄISYYS, HUOLI	NIDFULCUVAO, MIKE
Are you satisfied with your trip?	Oletko matkaan tyytyväinen?	Ooko ja ob rotuo nidfulcuva?
Are you dissatisfied with something?	Oletteko te tyytymätön johonkin?	Ooko jasi nidlufcuva öb ö?
He is not happy with himself.	Hän ei ole tyytyväinen itseensä.	Hä ej oo nidfulcuva ob aut.
Are you satisfied with such a program?	Tyydyttääkö Teitä tällainen ohjelma?	Nidfuulko Jasi täva prog.
Don't worry about her!	Älä ole huolissasi hänen puolestaan!	Ej oo ja in mike gö hä!
He lives carefree.	Hän elää huolettomasti.	Hä ee mike-ejli.
She's worried about home affairs.	Häntä huolestuttavat kotiasiat.	Hä mikee balsosi.
It's a shame to travel away so soon.	On sääli matkustaa pois näin pian.	Oo hacuah rotuu yr täli ipne.
How are you feeling?	Millä mielellä olette?	Kovi mi jasi oo?
I'm in a good mood.	Olen hyvällä tuulella.	Aj oo vi hava mi.
Why are you in such a bad mood?	Miksi olette niin huonolla tuulella?	Kosy jasi oo vi itli ahva mi?
Boredom appeared.	Ilmaantui ikävyyksiä.	Autkauuten luejravaosi.
Well those are the little worries of life.	No ne ovat elämän pikku murheita.	Noa itsi oo eo-of ipva sorsi.
Nothing necessary.	Ei mitään joutavia.	Ej ö ejnidva.
What does it matter!	Mitä väliä sillä on!	Ko ögro it oof!
There's also a queue.	Siellä on myös jonoa.	Itla oo ali tujär.
Oh God!	Hyvä Luoja!	Hava Novteejo!
Damn ring!	Pahus soikoon!	Hööv ahö!
HOPE, INTENTION	TOIVOMUS, AIKOMUS	NERAOB, NESOOTE
I hope to see him in the evening.	Toivon näkeväni hänet illalla.	Aj neraa vokaa hä ennatna.
Let's hope everything is fine!	Toivokaamme, että kaikki on kunnossa!	Neraa ajsi, syt ki oo hastana!
What do you want?	Mitä sinä haluat?	Ko ja ofraa?
I want home already.	Haluan jo kotiin.	Aj ofraa ripnen tu bal.
In summer I will swim a lot.	Kesällä aion uida paljon.	Lakna aj nesoo vuu siri.
Or aren't you going?	Vai etkö aio lähteä?	Taj ejko ja nesoo urtuu?
Are you going somewhere?	Aiotteko lähteä jonnekin?	Nesooko jasi urtuu kotu (kole)?
I am thinking of traveling to the south.	Ajattelen matkustaa etelään.	Aj soo rotuu tu ron.
STANCE	ASENNE	TUCU
He treats everyone that way.	Hän suhtautuu kaikkiin sillä tavalla.	Hä cuu ki itli.
It's hard to deal with him.	Hänen kanssaan on vaikea olla tekemisissä.	Vi hä oo ongva oo in teete.
It's interesting to talk to him.	Hänen kanssaan on kiintoisaa jutella.	Vi hä oo ruhamiva visasaa.
Interesting stuff about him.	Hänestä kerrotaan mielenkiintoisia juttuja.	Hä öbsasaata ruhamiva öbsasasi.
We have excellent relationships.	Meillä on erinomaiset välit.	Ajsi oof erhava vicusi.
But I just don't like him.	Mutta minäpä vain en pidä hänestä.	Mut aj a erisli ej öbraa hä.
It's stupid to be hurt by a joke.	On tyhmää loukkaantua leikkipuheesta.	Oo sivva autmireek öb leksasa.
Has anyone hurt you?	Onko teitä joku loukannut?	Ooko öjo mireeken jasi?
Nobody has hurt me.	Kukaan ei ole minua loukannut.	Kojo ej oo mireeken aj.
He listened calmly to the nasty news.	Hän kuunteli rauhallisena ikävät uutiset.	Hä höören pisli luejrava novsasi.
Don't you feel ashamed!	Eikö teitä hävetä!	Ejko jasi nohyys!
We were very well received.	Meidät otettiin erittäin hyvin vastaan.	Ajsi ögaapenta errili hali.
It's a very pleasant family.	Se on hyvin miellyttävä perhe.	It oo hali mihava baj.
You are a happy person: you are healthy,	Olette onnellinen ihminen: olette terve,	Jasi oo sakva baj: jasi oo terva,
you are liked in the workplace, you have a big, harmonious family.	teistä pidetään työpaikalla, teillä on iso, sopuisa perhe.	jasi öbraata la tölo, jasi oof piva, havisopva baj.
TEMPERAMENT, RELATIONS, BEHAVIOR	LUONNE, VÄLIT, KÄYTÖS	MIVAO, VICUSI, CUO
The younger generation has always wanted to behave in its own way.	Nuori sukupolvi on aina halunnut käyttäytyä omalla tavallaan.	Nuva cejlyl oo kina ofraaen cuoo li ofva lio.
Many people do not know themselves.	Monet ihmiset eivät tunne omaa itseään.	Si mämsi ej kavodaa ofva aut.
He wants to know everything and see everything for himself.	Hän haluaa tietää kaiken ja nähdä kaiken itse.	Hä ofraa daa ki a vokaa ki aut.
