VosaTevos	Finnnish	English
ahöfriipvao	tuhlaavaisuus	profligacy; wastefulness
ahöghäp	vastoinkäyminen	adversity; hardship
ahögjo	niskuri; uppiniskainen	stiff-necked; obstinate
ahögkas	kolari	crash
ahögva	äkämys; änkyrä	curmudgeon
ahöög	niskuroida; olla vastahakoinen	be recalcitrant; be refractory
ai	aijai	aye
aid.	jne.	etc.
aidsret	aids	AIDS
aj	minä; mä; minua; minut	ego; I; me
aj aafen	sain	I got
aj aafen a	sainpahan; ähäkutti	gotcha; serves you right!
aj aag	minä tuon; tuon	I bring; I shall bring
aj aagne	tulen tuomaan	I shall bring
aj aapen	otin	I took
aj ahosoor	kadun	I regret
aj ali	minä myös; minäkin	I too; me too
aj apdaav	opiskelen	I am studying
aj aut	itseni; minä itse	myself
aj daa	tiedän	I know
aj eemen	söin	I ate
aj emniid	olen nälkäinen; minun on nälkä	I am hungry; I'm hungry
aj faa	annan	I give
aj heiien	heitin	I threw
aj höör	kuuntelen	I'm listening
aj kiir	kirjoitan	I write; I'm writing
aj lumtuvooen	hiihdin	I skied
aj neraa	toivon	I hope
aj nesoo	aion	I'm going to
aj nuuken	nukuin	I slept
aj ofraaif	haluaisin	I would like to
Aj oo	Minä olen; olen	I am
aj oo ahmili	olen pahoillani	I am sorry; I'm sorry
aj ooen	olin	I was
aj oof	minulla on	I have; I have got
aj ooif	olisin	I would be
aj poriptee	minua väsyttää; olen väsynyt	I am tired; I'm tired
aj raa	rakastan	I love
aj raktee	minua pelottaa; minä pelkään	I'm afraid; I'm frightened; I'm scared
aj riik	luen	I read; I'm reading
aj rocuu	arvostan	I appreciate
aj sasaaen	puhuin	I spoke
aj soo	ajattelen	I'm thinking
aj sooen	ajattelin	I thought
aj tehööv	soitan	I play
aj traa	yritän; minä yritän	I try; I'm trying
aj urevomtee	minua pissattaa	I am peeing; I'm peeing
aj urevoom	minä pissaan	I am peeing
aj uttuuen	kävin; vierailin	I went; I visited
aj uutne	tulen	I will come
aj visavöö	soitan	I call
aj vohöö	kuulen	I can hear; I hear
aj vokaa	näen	I see
aj vokaaen	näin	I saw
aj voo	voin	I can
aj vooif	voisin	I could
aj yraapen	poistin	I removed
aj ääf	ostan	I buy
aj öbraa	pidän	I like
aj öbsooen	pohdin	I pondered
aj ögkaaen	tapasin	I met
aj ööf	omistan	I own
ajof	minun	mine; my
ajof ersa	nimeni	my name
ajof havijo	ystäväni	my friend
ajof ma	isäni	my father
ajof mamsi	vanhempani	my parents
ajof nos	tyttäreni	my daughter
ajof nukli	unissani	in my sleep
ajof rajo	rakkaani	ducky
ajof saksasi	onnitteluni	my congratulations
ajof suithemoev	kultaseni	sweetheart
ajof viäm	vaimoni	my wife
ajsi	meitä; meidät; me	us; we
ajsi aaf	saamme	we get
ajsi aapen	otimme	we took
ajsi aut	itsemme; itseämme; me itse	ourselves
ajsi ej	emme	we do not
ajsi katuuen	ajoimme	we drove
ajsi obnooen	odotimme	we waited
ajsi oo	olemme	we are
ajsi ooen	olimme	we were
ajsi oof	meillä on	we have
ajsi ooif	olisimme	we would be
ajsi rotuuif	matkustaisimme	we would travel
ajsi tee	teemme	we do
ajsi tiifen	tilasimme	we ordered
ajsi uut	tulemme	we come
ajsi uutif	tulisimme	we would come
ajsi viinen	voitimme	we won
ajsi vikadaaen	tutustuimme; tutustuimme toisiimme	we got acquainted; we got to know each other
ajsi visavööen	soitimme	we called
ajsi vokaaen	näimme	we saw
ajsi voo	voimme	we can
ajsi ögkaa	tapaamme	we meet
ajsi ögkaaen	tapasimme	we met
ajsi ögkaane	tapaamme	we will meet
ajsiof	meidän	our; ours
akasep	akaasia	acacia
Akilles roupev	akillesjänne	Achilles tendon
a-kirka	alfa	alpha
akli	rumasti	in an ugly manner
ako	entä; entäs	how about; what about
akob	rumilus	eyesore; hulk; ugly thing
akpiir	rumentaa	deform; disfigure
akpir	rumempi	uglier
akrylmo	akryyli	acrylic
akva	ruma	bad-looking; homely; not nice; tasteless; ugly; unsightly
akvao	rumuus	ugliness
al	ali-; alla	below; underneath; underlying; under-; under; beneath; hereunder
al lao	pinnan alla	underneath
al yllo	taivasalla	under the open sky
alabastmo	alabasteri	alabaster
alahpircuovao	sorronalaisuus	oppression
alalli	allekkain	falling apart below; one below the other
alalo	alapohja	bottom base
albanjo	albaani	Albanian
albanva	albanialainen	Albanian
albasipjo	alikersantti	sergeant; sub-sergeant
albatrosif	albatrossi	albatross
albekmoo	vaivata taikinaa	knead
aldafivoli	alitajuisesti	subconsciously
aldafivote	alitajunta	subconsciousness
aldafivova	alitajuinen	subconscious; subliminal
aldavlo	ala-aste	grade school; primary school; elementary school
aldeeven	alikehittynyt	underdeveloped
aldehydmo	aldehydi	aldehyde
aldirli	allapäin	depressed; dispirited; down; downbeat; downcast
aldpu	leppä	alder
aldpul	lepikko	grove of alder trees
alel	alta	from below; from under
alelookjo	altavastaaja	accused; defendant; underdog
alevhoomen	hengästynyt	breathless
alevhoomva	hengästyttävä; henkeäsalpaava	breathtaking
alfirilide	surrealismi	surrealism
alfirilva	surrealistinen	surreal; surrealistic
alforaafjo	alihankkija	subcontractor
alforaf	alihankinta	subcontract; subcontracting
alful	vajaa	not full; scant
alfulote	vajaatoiminta	insufficiency
alfulri	alijäämä; vajaus; vaje	deficiency; deficit; shortfall
alfulriva	alijäämäinen	in deficit
alfulsaa	sopertaa	slur
alfulva	vaillinainen; vajanainen; vajavainen	incomplete; lacking; insufficient; deficient; imperfect; inadequate
alfulvao	vajavaisuus; vajavuus	deficiency; inadequacy
alfulvostava	vajaakuntoinen	deficient; disabled
alg	levä	alga
algerva	algerialainen	Algerian
algtselmo	agar	agar
algulofjo	vasalli	vassal
alharvat	alushousut; kalsongit	drawers; knickers; panties; underpants; undershorts; briefs
alhevriva	alipainoinen	underweight
ali	myös; myöskin	too; also
ali a	niin ikään	also
alide	periaate	principle; tenet
alideva	periaatteellinen	principled
aligatpe	alligaattori	alligator
alik	alaosa	bottom part; lower part; lower section
aliksio	osajoukko	subset
aliplo	alakohta; momentti	subsection
alippir	niukempi	scarcer
alipri	niukasti	marginally; scantily
aliprisava	niukkasanainen	curt; short-spoken; terse
alipriva	niukka	scanty; stingy; scarce; meagre; meager; exiguous; scant
aliprivao	niukkuus	scarceness; scarcity; sparseness; paucity
alipst	niukin	scarcest
alissaaen	allamainittu	undermentioned
aljo	alainen	subordinate
aljosi	alaiset	subordinates
aljurli	perin juurin	downright
aljänriva	alaikäinen	underage; under age; juvenile; minor
alkaloidmo	alkaloidi	alkaloid
alkatfa	alivalotus	underexposure
alkfäveemlo	kapakka; pubi	pub; public house; tavern
alkiir	allekirjoittaa	underwrite; sign; sign up
alkiiren	allekirjoitettu; allekirjoittanut	yours; signed; undersigned
alkiirjo	allekirjoittaja	co-signatory; signatory; signer
alkiirte	allekirjoittaminen	signing
alkir	allekirjoitus	signature
alkirpöjo	prokuristi	signing clerk
alkmo	alkoholi	alcohol
alkmoejva	alkoholiton	alcohol-free; nonalcoholic
alkmomä	puliukko	heavy drinker
alkmorivö	alkometri	breathalyzer
alkmoräjjo	kännikala; humalainen	boozer; drunk
alkmoräjli	kännissä; humalassa	drunk; pissed; smashed; tanked up
alkmoräjsta	känni	drunk
alkmoräjva	känninen	boozy
alkmumo	käyte	ferment
alkmuo	käyminen	fermentation; fermenting
alkmusta	käymistila	ferment
alkmuu	käydä	ferment
alkong	alkoholiongelma	alcohol problem
alkongide	alkoholismi	alcoholism
alkongjo	alkoholisti	alcoholic
alkräjmuu	juopua	become intoxicated; get drunk; become inebriated
alkräjmuuen	juopunut	drunken; drunk
alkräjmuuli	juovuksissa	drunk
alkräjmuute	juopuminen	drunkenness
alksivcuova	juoppohullu	bonkers; drunkard
alkveem	kännätä	booze
alkveemenli	hiprakassa	tipsy
alkveemjo	juomari; juoppo	sot; inebriate; wino; drinker; alcoholic; drunkard
alkveemlo	krouvi	tavern
alkveemtol	krouvi	inn; pub
alkvem	alkoholijuoma; kilju; pirtu; viina	hard stuff; liquor; hard liquor; booze; alcoholic beverage; spirits
alkvem fäflo	viinakauppa	liquor store; off-licence
alkvemhäp	juomingit	beer bash; bender; booze bash; carousal
alkydmo	alkydi	alkyd
alköl	alamaailma	underground; underworld
alladirli	nurin päin	inside out
allaevmo	mokka; mokkanahka	suede leather; suede
allakvao	hypotermia	hypothermia
allali	nurin	inside out; over; reversed; upside down; upturned; wrong side up
allasivva	nurinkurinen	incongruous
alle	alle	under
alleivat	alusliina	doily
alleiyl	alakerta; alempi kerros	downstairs; lower floor
allelgen	alleeli	allele
alleuve	alaleuka	mandible
alli	alitse; ali	beneath; under
allii	alittaa	go under; go under something; pass underneath; undercut
alliin	alleviivata	emphasise; underscore; underline; emphasize
alliinte	alleviivaus	underlining; underscoring
allin	alaviiva	underscore
allip	alahuuli	lower lip
allisinmo	allisiini	allicin
allitol	alusta	substructure
allo	alusta	base; basis
allokirto	aapinen	primer
allokirto mäkotsif	aapiskukko; ABC-kirjan kukko	ABC-book rooster
allolato	aluskate	underlay
alloli	perin pohjin	thoroughly
allonääfjo	alivuokralainen	boarder; lodger; roomer; sublessee; subtenant; sub-tenant
allonääfte	alivuokraus	subletting
allosakau	nominatiivi	nominative
allosiep	aluskasvillisuus	underbrush; undergrowth
allovol	antura	foundation base
allumgagvo	jalas	skid
alluvat	alushame	petticoat; underskirt
allyli	juurta jaksain; läpeensä; perinpohjaisesti; perinpohjin	thoroughly; throughout; utterly
allylmo	allyyli	allyl
allylri	ala-aste	low degree; lower degree; low grade; low stage
almethäkos	alasin	anvil
almol	maaperä	soil
almolautriipte	eroosio	erosion
almolbavamtul	salaoja	subsurface drain
almolbavamtultorv	salaojaputki	drainpipe
almolbavamtuul	salaojittaa	underdrain
almolbavamtuulte	salaojitus	subsurface drainage
almolseflo	korsu	dugout
almoltul	tunneli	tunnel
almoltuul	tunneloida	tunnel
almoltuvö	metro	metro; subway
almoltuvö reituo	metrolinja	metro line; subway line
almoltuvölo	metroasema	metro station; subway station
almolva	maanalainen	underground; subsurface; subterranean
alnukos	alapeti	lower berth
alnulion	anioni	anion
alnulli	negatiivisesti	negatively
alnulob	negatiivi	negative
alnulva	negatiivinen	negative
alnulvao	negatiivisuus	negativism; negativity
alo	pohja	base; bottom; sole
alob	substraatti	substrate; substratum
aloejli	pojattomasti	abysmally; endlessly
aloejva	pohjaton	abysmal; bottomless
aloejva dipri	pohjaton syvyys	bottomless depth
aloep	aaloe	aloe
alokate	layout; pohjapiirros; taitto	makeup; floor plan; layout; lay-out
alokämo	pohjamaali	primer; priming paint
aloleito	pohjalevy	baseplate
aloleiyl	maantaso; pohjakerros	bottom layer; ground floor
aloli	perimmiltään; pohjimmiltaan	basically; fundamentally; in essence
alomolely	pohjasakka	lees; bottom deposit; dregs
alo-ofva	pohjallinen	insole; bottomed
aloova	alla oleva	underlying
alopoys	pohjavire	undertone
alos	alusta	bottom; chassis; platform
alossi	alustat	platforms
alostva	pohjimmainen	undermost; bottommost; quintessential
alosähtu	pohjavirta	undercurrent
alote	pohjuste	primer
alotee	pohjustaa	pave the way for; prime
alotee kämolao	pohjustaa maalipinta	prime the paint surface
alotee so	pohjustaa asia; luo pohjan	lay the groundwork for
aloteo	pohjustus	wood primer; first coat; introduction; priming; surface preparation
alotuveto	sandaali	sandal
alovam	pohjavesi	ground water
alpaersio	alaluokka	subclass
alpakpe	alpakka	alpaca
alpiptol	alppimaja	alpine hut
alplo-	alppi	alpine
Alplosi	Alpit	Alps
alplumtuvoote	alppihiihto	alpine skiing
alprog	aliohjelma	subprogram; subroutine; routine; function
alproskuk	alppiruusu; atsalea	azalea; rhododendron; alpine rose
alpviolkuk	syklaami	cyclamen
alpäsa	alaotsikko	subtitle
alpöhylvysotöjo	alivaltiosihteeri	assistant secretary of state; undersecretary
alpöjo	alamainen	subject; subservient
alpölyva	alisteinen	subordinate to; subordinate; subjacent; subordinating
alpölyy	alistaa	dominate; inhibit; subdue; subjugate; subordinate; subserve; subtend; suppress
alpölyyen	alistettu	subjected
alpölyyte	alistaminen; alistus	submission; subordination; subjection; feeding
alpöouvlo	aliportaali	subportal
alrataf	alioikeus	inferior court; lower court
alri	alle	below
alrili	alle määrän	below quantity
alringruv	prikka	washer
alrio	alayksikkö	subunit
alriva	vajaamittainen	undersized
alrocuu	väheksyä; vähätellä	understate; scorn; underrate; underplay; trivialize; undervalue; minimise; downplay; disparage; disdain; belittle; despise; minimize
alrocuuen	aliarvostettu	underrated; undervalued
alroeemen	aliravittu	underfed; undernourished; malnourished
alroeemte	aliravitsemus	undernourishment; malnourishment; malnutrition
alrokaa	aliarvioida	undervalue; underrate; rate too low; sell short; underestimate
alrokaaen	aliarvioitu	underestimated
alrokaate	aliarviointi	underestimation; underrating; understatement; undervaluation
alrooven	alirahoitettu	underfunded
alrosipjo	aliupseeri	non-commissioned officer
alrovfa	alimaksu	underpayment
alrovli	alle hinnnan	below the price
alsid	alapuoli	downside; lower side; underside
alsidla	alapuolella	below
alsidva	alapuolinen	inferior; lower
alsimäpaaen	alimiehitetty	undermanned
alsisek	alihakemisto	subdirectory
alsootesio	alakomitea	subcommittee
alsy	argumentti	argument
alsyli	läpikotaisin	thoroughly
alsyva	läpikotainen; perinpohjainen	thorough
altee	alustaa	format; initialize; introduce
alteejo	alustaja	presenter
alteeli	alustavasti	tentatively
alteeva	alustava	prelim; preliminary; prefatory; introductory; tentative
alteo	alustus	formatting; initialisation; initialization; introduction
altli	vuorotellen	alternately; alternating
altliva	vuorottainen	alternate
altno	vuoro	turn; shrift
altolik	alahuone	House of Commons
altoote	alituotanto	underproduction
altsasa	dialogi; vuoropuhelu	dialog; dialogue
alttuvisa	vuorotervehdys	responsory
altulu	alaviite	footnote
altuo	alikulku	underpass
alturro	alivakuutus	underinsurance
altusipaaen	jaettu alaosastoinin	subdivided
altuve	antura	sole
altuveäng	nilkka	ankle
altvam	vuorovesi	tide
altylva	alatyylinen	understyle
altys	vuorovaikutus	interaction; interplay
altysva	vuorovaikutteinen	interactive
altöos	alusta	easel; workbench
altörooven	alipalkattu	underpaid
alummo	aluna	alum
alussajo	kappalainen	junior assistant; Second Pastor; chaplain
alustol	krypta	crypt
alvaaren	alikypsennetty	undercooked
alvaik	alalaji	subspecies
alvamtuo	sukellus	dive; diving
alvamtuu	sukeltaa	dive
alvamtuuen	sukeltanut; sukelsi	dived
alvamtuujo	sukeltaja	diver
alvamva	vedenalainen	underwater; subaquatic
alvamva kaum	vedenalainen kallio	underwater rock
alvamvuvö	sukellusvene	submarine
alvat	alusvaate	underwear
alvatsi	alusvaatteet	lingerie; underclothes; underclothing; undergarments; underwear; undies
alvilbodsi	pehku	litter
alvol	sokkeli	plinth; socle
alvos	murre	dialect
alvosva	murteellinen	dialectal
alylvat	aluspaita	camisole; undershirt
am	maammo; mamma; äiti	mommy; mother; momma; mom; mammy; mama; mam; mum
amalgammo	amalgaami	amalgam
amepe	ameeba	amoeba
amerjo	amerikkalainen	American
amerjosi	amerikkalaiset	Americans
Amerlo	Amerikka	America
amertuvebol	rugby	rugby
amerva	amerikkalainen	American
amerva tuvebol	amerikkalainen jalkapallo	American football
amervao	amerikkalaisuus	Americanism
ametistmo	ametisti	amethyst
amfetaminmo	amfetamiini	amphetamine
ami-	amino-	amino
amidmo	amidi	amide
amihapmo	aminohappo	amino acid
aminmo	amiini	amine
amleito	emolevy	mainboard; motherboard
amlisalo	neuvola	maternity clinic
amliva	äidillinen	motherly
amlivao	äidillisyys	motherhood
ammoniamo	ammoniakki	ammonia
amof	äidin	mother's; maternal
amof bajson	eno	maternal uncle; uncle
amofson	mammanpoika	crybaby; mama's boy
ampoulvo	ampulli	ampoule
ampri	ampeeri	ampere
amprivö	ampeerimittari	ammeter
amra	äidin rakkaus	maternal love
amröhpe	emakko	sow; female pig
amsi	äidit	moms; mothers; mums
amsid	äitipuoli	stepmother
Amsitan	äitienpäivä	Mother's Day
amut	kuitenkin; kumminkin	in spite of the fact; yet; nevertheless; however; anyway; and yet; nonetheless
amut ej	kuitenkaan	however, no
amut it	siitä huolimatta	despite the fact
amuu	ammua	low; moo
amuupe	nauta	bovine
amuupemit	naudanliha	beef
amuupetol	navetta	barnyard; cowbarn; cowshed; barn
amuusirope	nautakarja	cattle
amvao	äitiys	maternity; motherhood
amvao lisalo	äitiysneuvola	maternity clinic
amvao urtöno	äitiysloma	maternity leave
amylmo	amyyli	amyl
anakondpe	anakonda	anaconda
ananhed	ananas	pineapple
Andisi	Andit	Andes
anen	taas	again
anen a	taasen	again
anglikanusva	anglikaaninen	Anglican
anhydridmo	anhydridi	anhydride
anilinmo	aniliini	aniline
anisep	anis	anise; aniseed
anisep sem	aniksen siemen	anise seed
antilpe	antilooppi	antelope
antrasitmo	antrasiitti	anthracite
aoh	ah	ah
aohka	kas	now
ap	otto	taking; intake
apdaav	opiskella	study
apdaaven	opiskellut	studied
apdaavjo	opiskelija	student
apdaavjo auttefuul	opiskelija valmistuu	student graduates
apdav	opiskelu	study; studying
apdavkasoto	opintosuunnitelma	study plan
apdavprog	opinto-ohjelma	curricula
apdavreituo	opintolinja	field of study
apdavsi	opinnot	studies
apdavtekato	opinnäyte	thesis
apdavtekatotö	opinnäytetyö	thesis
apdavtudiirjo	opinto-ohjaaja	tutor
aphakavo	valitsin	chooser
apilep	apila	clover
apkaa	valita	pick; pick out; prefer; select; elect; choose; opt
apkaa ja	valitse	choose; select
apkaaen	valikoitu; valinnut; valitsi; valitsivat; valittu	chose; chosen; elected; opted; selected
apkaajo	valitsija	elector; selector; voter
apkaate	valinta	choosing
apkaavoli	valinnaisesti	optionally
apkaavova	valinnainen	elective; optional
apkafrivao	valinnanvapaus	freedom of choice
apkajosio	valitsijakunta	constituency; electorate
apkamä	valitsijamies	elector
apkao	valinta	choice; selection
apkaob	menu; valikko	menu
apkaores	valinnanvara	good choice
apkapifäflo	valintamyymälä	supermarket
apkavo	valitsin	dial; selector
apnoejli	viipymättä	forthwith; promptly; without delay
apnoo	viipyä	stay; be late; bide; linger
apnori	viipymä; viive	delay; lag
aprikhed	aprikoosi	apricot
apring	raksi	loop; strap; tab
apsi	otot	takings
apsio	sikermä	potpourri; cluster; group; medley
apsopna	otolliseen aikaan	at a convenient time
apsopva	otollinen	acceptable; opportune
apsopva tu Hajo	otollinen Jumalalle	acceptable to God
apsopvao	otollisuus	convenience
aptaart	tarttua	grab; grasp
aptaartva	tarttuva	gripping
aptap	nuppi	noddle; head; knob
apte	otos	sample; take
apvo	kahva; ripa	handgrip; handle; hilt
ar	viha	anger; hate; hatred; hostility; ire; wrath
arab	arabia; arabian kieli	Arabic
