Tunniste	Englanti	Suomi	Vosa
269	That's a weird thing.	Se on outo juttu.	It oo ejvikadava öbsasa.
270	Are you joking or are you serious?	Lasketko leikkiä vai oletko tosissasi?	Saako ja lek taj ooko ja darilli?
271	Of course, I'm just kidding.	Tietysti puhun vain leikkiä.	Dajeli aj sasaa erisli lek.
272	It's a nasty joke.	Se on ilkeä pila.	It oo ahcuva tarlek.
273	Who are they talking about?	Kenestä he keskustelevat?	Öb kojo häsi visasaa?
274	Everyone talks about them.	Kaikki puhuvat heistä.	Ki sasaa öb häsi.
275	What are they talking about?	Mistä he puhuvat?	Koöb häsi sasaa?
276	About weather.	Säästä.	Öb nista.
277	What did he tell you?	Mistä hän kertoi?	Ko hä öbsasaaen?
278	He briefly told about his trip.	Hän kertoi lyhyesti matkastaan.	Hä öbsasaaen ulli häof rotuo.
279	Did you understand what I mean?	Ymmärsitkö, mitä minä tarkoitan?	Dakavooenko ja, ko aj obmaark?
280	Could you please try to explain in more detail!	Yrittäisittekö selittää tarkemmin!	Traaifko jasi klirsaa tarkpirli!
281	You have no right to speak like that.	Teillä ei ole oikeutta puhua noin.	Jasi ej oof rataf sasaa ätli.
282	Can you say this way?	Voiko sanoa näin?	Vooko sasaa täli?
283	I'll give you a straight answer.	Annan teille suoran vastauksen.	Aj faa tu jasi reiva ookte.
284	Think first and then answer.	Ajattele ensin ja sitten vastaa.	Soo ja isvana a itne ook.
285	Who is the man who talked with you?	Kuka se mies on, joka puhui Teidän kanssanne?	Kojo it mä oo, kojo sasaaen vi Jasi?
286	It is interesting to discuss artificial languages with him.	Hänen kanssaan on mielenkiintoista keskustella keinotekoisista kielistä.	Vi hä oo ruhamiva visasaa öb tevossi.
287	Did you talk to the manager about this?	Puhuitteko tästä johtajan kanssa?	Sasaaenko jasi öb tä vi diirjo?
288	He didn't talk to us.	Hän ei puhunut meidän kanssamme.	Hä ej sasaaen vi ajsi.
289	Don't yell, speak calmly!	Älä huuda, puhu rauhallisesti!	Ej sää, sasaa pisli.
290	Speak louder, I'm hearing badly!	Puhukaa kovempaa, kuulen huonosti!	Sasaa jasi höpirli, aj vohöö ahvoli!
291	Could you repeat what you said!	Voisitteko toistaa, mitä sanoitte!	Vooifko ja dusaa ko jasi sasaaen!
292	Let's talk another time!	Puhutaan toisella kertaa!	Sasaata na duva isno!
293	Let's talk about this at the dinner table!	Puhutaan tästä päivällispöydässä!	Sasaata öb tä tut tanem laos!
294	We can continue our discussion tomorrow.	Voimme jatkaa keskusteluamme huomenna.	Ajsi voo pirtuu ajsiof visasa detanna.
295	We still have to talk about this.	Meidän on vielä puhuttava tästä.	Ajsi oo pirnen sasaa öb tä.
296	It's better not to talk about this.	On parempi olla puhumatta tästä.	Oo hapir oo sasaaejli öb tä.
297	Finns are low-talking people.	Suomalaiset ovat vähäpuheista väkeä.	Finjosi oo iprisasaava jori.
298	It's not worth talking to him about this.	Hänen kanssaan ei kannata puhua tästä.	Vi hä ej rogöö sasaa öb tä.
299	MEETING	KOKOUS	VISAHÄP
300	The seminar is in July.	Seminaari on heinäkuussa.	Pidavhäp oo na sevhyn.
301	It is in our best interest to get together in time.	Meidän etujemme mukaista on kokoontua ajoissa.	Vili ajof edrosi oo relotuu haedna.
302	Were you in the defenders of peace congress?	Olitteko te rauhanpuolustajien kongressissa?	Ooenko jasi in pisgöjosi edpösio?
303	We were in an international congress.	Olimme kansainvälisessä kongressissa.	Ajsi ooen in hyjsivälva edpösio.
304	When will we be given the floor?	Milloin meille annetaan puheenvuoro?	Kona le ajsi faa sasa altno?
305	What do you suggest?	Mitä te ehdotatte?	Ko jasi tajsaa?
306	You must answer that question!	Teidän on vastattava tuohon kysymykseen!	Jasi piit ook tu ät koote!
307	That is the question.	Siitähän juuri onkin kysymys.	Öb it a oo a jusli koote.
308	Before resolving this issue, talk to Veikko!	Ennen kuin ratkaistaan tämä kysymys, keskustele Veikon kanssa!	En na gnoota tä koote, visasaa vi Veikko.
309	In the end, we reached agreement on everything.	Lopultakin pääsimme kaikesta sopimukseen.	Nöna a ajsi aftuuen ob ki visopto.
310	OPINION	MIELIPIDE	MICU
311	Do you want to know my opinion?	Haluatteko tietää minun mielipiteeni?	Ofraako jasi daa ajof micu?
312	That is our common opinion.	Se on meidän yhteinen mielipiteemme.	It oo ajsiof viofva micu.
313	I think that you are wrong.	Olen sitä mieltä, että olet väärässä.	Aj oo it mi, syt ja oo intar.
314	It is generally believed that Finnish furniture is good.	Yleisesti ollaan sitä mieltä, että suomalaiset huonekalut ovat hyviä.	Tihnali oota it mi, syt finva tolossi oo hava.
315	Many people think that St Petersburg is the most beautiful city in Europe.	Monet ovat sitä mieltä, että Pietari on Euroopan kaunein kaupunki.	Si oo it mi, syt Petersburg oo Eurlo-of kast taunlo.
316	Do you agree?	Oletteko samaa mieltä?	Ooko jasi re mi.
317	You are right, I agree with you.	Olette oikeassa, olen kanssanne samaa mieltä.	Jasi oo inrat, aj oo vi jasi re mi.
318	Don't mind going there.	Ei ole mieltä mennä sinne.	Ej oo mi tuu itle.
319	They suggested we travel together.	He ehdottivat, että matkustaisimme yhdessä.	Häsi tajsaaen, syt ajsi rotuuif vi.
320	It's my business.	Se on minun oma asiani.	It oo ajof so.
321	I am in favour of Matti. I am on Matti's side.	Olen Matin puolella.	Aj göö Matti.
322	The video is bad, don't watch it.	Video on huono, ei kannata katsoa sitä.	Kahöto oo ahvova, ej rogöö kaa it.
323	It was a great performance.	Se oli erinomainen esitys.	It ooen erhava edtuka.
324	What kind of service is here?	Minkälainen palvelu täällä on?	Kova seerte täla oo?
325	Generally speaking, no reproach.	Yleisesti ottaen ei moittimista.	Tihnali aapli ej öbahsaa.
326	What do you recommend?	Mitä Te suosittelette?	Ko Jasi hapirsaa?
327	It doesn't matter to me.	Se on minulle yhdentekevää.	It oo le aj reteeva.
328	Does not matter.	Ei ole väliä.	Ej curoo.
329	What's more, no rain is coming.	Vielä mitä, mitään sadetta ei tule.	Pirnen ko, ejö vamly uut.
330	Actually not that either, pretty well.	Oikeastaan ei sen kummemmin, aika hyvin.	Ratli a ej it kaeröpirli, rafli hali.
331	GRANTING / PROHIBITION	MYÖNTÖ / KIELTO	JEETE / EEJTE
332	Did you accept our proposal?	Hyväksyittekö te ehdotuksemme?	Hafaaenko jasi ajsiof tajsa?
333	Does anyone object?	Eikö kukaan vastusta?	Ejko kojo öög?
334	I'm not personally against it.	En ole henkilökohtaisesti sitä vastaan.	Aj ej oo hojoiploli ög it.
335	Let's do that.	Tehdään niin.	Teeta itli.
336	Let’s agree! Agreed!	Sovitaan niin! Sovittu!	Visoopta itle! Visoopen!
337	In the end, he agreed.	Loppujen lopuksi hän suostui.	Mu önsi ön hä hafatuuen.
338	Let's go to the country!	Mennään maalle!	Tuuta le nuatlo!
339	Let's just go. I agree.	Mennään vain. Olen samaa mieltä.	Tuuta erisli. Aj oo re mi.
340	Let's go, I agree.	Olkoon menneeksi, suostun.	Oo it mu tuu, aj hafatuu.
341	Alright! Yeah, sure. Of course!	Hyvä on! Sopiihan se. Tietysti!	Hava oo! Soop a it. Dajeli!
342	My pleasure! Great!	Mielihyvin! Hienoa!	Mihali! Väkava!
343	Absolutely! Let's do that!	Ehdottomasti! Tehdään niin!	Ifoejli! Teeta itli!
344	Good idea! Perhaps!	Hyvä ajatus! Ehkäpä!	Hava sooso! Mejli a!
345	It doesn't matter to me. I don't mind.	Minulle on yhdentekevää. En vastusta.	For aj oo reteeva. Aj ej öög.
346	Yes, it is. You're right.	Kyllä, näin on. Olette oikeassa.	Je, täli oo. Jasi oo inrat.
347	That's right! Undoubtedly.	Pitää paikkansa! Epäilemättä.	Dariloo! Suuejli.
348	No thanks.	Kiitos ei.	Haforsa ej.
349	Unfortunately, I can't come.	Valitettavasti en voi tulla.	Ongsali aj ej voo uut.
350	I don’t feel like going there.	Minun ei tee mieleni lähteä sinne.	Aj ej ofraa urtuu itle.
351	Excuse me, but I don't have time / have anything to do.	Suokaa anteeksi, mutta minulla ei ole aikaa / on tekemistä.	Pöfaa ja ahhafali, mut aj ej oof no / oof teete.
352	I'm afraid I can't come, my evening is busy	Pelkäänpä, etten voi tulla, iltani on varattu	Aj raak a, syt aj ej voo uut, ajof ennat oo reesen.
353	Too bad, but I have to refuse.	Vahinko, mutta minun täytyy kieltäytyä.	Tekas, mut aj piit auteej.
354	I do not agree.	En ole samaa mieltä.	Aj ej oo re mi.
355	I guess that's not the case.	Luulenpa, että ei asia ole niin.	Aj mejuus a, syt ej so oo itli.
356	You're not right.	Ette ole oikeassa.	Jasi ej oo inrat.
357	Quite the opposite!	Täysin päinvastoin!	Fulli öggö!
358	Are mistaken.	Erehdytte.	Jasi soviik.
359	Stop that speech! Enough already!	Lopeta tuo puhe! Riittää jo!	Teöön ja ät sasa! Hanidrii ripnen!
360	Don't fight! I lost the dispute.	Älkää kinastelko! Hävisin kiistan.	Ej jasi sipoos! Aj niiven posvisa.
361	PUBLIC EVENTS	YLEISÖTILAISUUDET	HÖKASIO HÄPSI
362	We sat in the first row.	Istuimme ensimmäisellä rivillä.	Ajsi siiten la isva leijär.
363	Our place is on the tenth row.	Meidän paikkamme on kymmenennellä rivillä.	Ajsiof lo oo la basva leijär.
364	The hall was still empty.	Salissa oli vielä tyhjää.	In ropitolik ooen pirnen lufva.
365	There are a lot of people, are the chairs enough?	Ihmisiä on paljon, riittävätkö tuolit?	Mämsi oo siri, hanidriiko sitossi?
366	ENTRANCE	SISÄÄNPÄÄSY	INTUAFTUO
367	Do you happen to have an extra ticket?	Sattuuko teillä olemaan ylimääräistä lippua?	Saatko jasi oof ylriva tupapr?
368	Buy me a ticket too.	Osta minulle myös lippu.	Ääf ja for aj ali tupapr.
369	We queued up for tickets.	Jonotimme lippuja.	Ajsi tujäären tupaprsi.
370	Can I have one ticket?	Saisinko yhden lipun?	Aafifko aj is tupapr?
371	All tickets have already been sold.	Kaikki liput on jo myyty.	Ki tupaprsi oo ripnen fääen.
372	Did you get bought a ticket?	Saitko ostetuksi lipun?	Aafenko ja mu ääf tupapr?
373	Upon check in, tickets will be checked.	Sisään mentäessä tarkistetaan liput.	Na intuu taarkta tupaprsi.
374	RIGHT # WRONG	OIKEA # VÄÄRÄ	RATVA # TARVA
375	He's probably right.	Hän on mahdollisesti oikeassa.	Hä oo voli inrat.
376	He is indeed right.	Hän on todellakin oikeassa.	Hä oo rilli a inrat.
377	I think he's right.	Luulen, että hän on oikeassa.	Aj mejuus, syt hä oo inrat.
378	I don't know who's right, who's wrong.	En tiedä, kuka on oikeassa, kuka väärässä.	Aj ej daa, kojo oo inrat, kojo intar.
379	Now understand that you are wrong!	Ymmärrä nyt, että sinä olet väärässä!	Dakavoo ja nen, syt ja oo intar!
380	That's right.	Sen on aivan oikein.	It oo fulli ratli.
381	That's right, I was it.	Aivan oikein, minä se olin.	Fulli ratli, aj it ooen.
382	He's doing the wrong thing.	Hän tekee kaiken väärinpäin.	Hä tee ki tarögli.
383	He does everything wrong.	Hän tekee kaiken väärin.	Hä tee ki tarli.
384	I took the wrong coat.	Otin väärän takin.	Aj aapen tarva ylluvat.
385	You seem to be mistaken.	Te olette nähtävästi erehtynyt.	Jasi oo vokaali soviiken.
386	When I speak in Russian, I still make a lot of mistakes.	Kun puhun venäjää, teen vielä paljon virheitä.	Na aj sasaa rus, aj tee pirnen siri soviksi.
387	RELIGION, MORAL	USKONTO, MORAALI	USIDE, CUHAH
388	It's downright incredible!	Se on suorastaan uskomatonta!	It oo reisyli uusejva!
389	I don't believe your words.	En usko sanojasi.	Aj ej uus jasi sasi.
390	Can you keep your words?	Voitko pitää sanasi?	Vooko ja paoo jasi sasi?
391	He is an honest person.	Hän on rehellinen ihminen.	Hä oo rilhava mäm.
392	This is a Lutheran church.	Tämä on luterilainen kirkko.	Tä oo lutherusva ustol.
393	explore the famous Cathedral	tutustua kuuluisaan tuomiokirkkoon	vikadaa dahonva roustol.
394	pray to God	rukoilla Jumalaa	usteaaf Hajo
395	to believe in God	uskoa Jumalaan	uus Hajo
396	every day of the Creator	joka Luojan päivä	ki Novteejo tan
397	live like a monk	elää kuin munkki	ee li usofmäjo
398	to be wicked, unbelieving and self-righteous	olla jumalaton, epäuskoinen ja omavanhurskas	oo hajoejva, ejuusjo a autushava
399	a firm believer	lujasti uskova henkilö	ögpoli uusva hojo
400	to remember past sins	muistella menneitä syntejä	sitesöö tuuen ahosi
401	apologize for his mistakes	pyytää aneeksi virheitään	teaaf ahhafali häof soviksi
402	forgive from the heart	antaa anteeksi sydämestä	faa ahhafali ur hemoev
403	to proclaim the absolution	julistaa synninpäästö	dihsasaa ahofapa
404	confess his sins	tunnustaa syntinsä	görilsaa ahosi
405	Interpret the Bible in the light of the Holy Spirit.	Tulkita raamattua Pyhän Hengen valossa.	Lidakavoo uskirto in Pyhva Ho kat.
406	The church sings hymns.	Seurakunta laulaa virsiä.	Usjosio hösaa ushösasi.
407	The priest preaches the law and the gospel.	Pappi saarnaa lakia ja evankeliumia.	Ussajo ussasaa pöso a rossa.
408	JOY # SORROW	ILO # SURU	ROS # SOR
409	We had a lot of fun.	Meillä oli hyvin hauskaa.	Aj oofen hali hehobva.
410	During the Russian class we always have fun.	Venäjän tunnilla meillä on aina hauskaa.	La rus din ajsi oof kina hehobva.
411	Well, what was it like, fun or?	No millaista siellä oli, hauskaa vai?	Noa kova itla ooen, hehobva taj?
412	How happy I am!	Kuinka olenkaan iloinen!	Koli aj oo a rosva!
413	The fairy tale has a happy ending.	Sadussa on onnellinen loppu.	Feösa oof sakva ön.
414	What are you laughing at?	Mitä sinä naurat?	Ko ja hehee?
415	We laughed so sweetly.	Nauroimme niin makeasti.	Ajsi hehee-en itli suitli.
416	Why are you smiling?	Miksi Te hymyilette?	Kosy Ja hee?
417	Don't cry, everything will pass.	Älä itke, kaikki menee ohi.	Ej eeh ja, ki tuu sidut.
418	Why do you look so sad today, has something unfortunate happened?	Miksi olette tänään niin surullisen näköinen, onko sattunut jotain ikävää?	Kosy ja oo tätanna itli sorva likava, ooko saaten ö sakejva?
419	Do you miss it here?	Onko Teillä täällä ikävää?	Oofko Ja täla luejrava.
420	We had a wonderful time.	Meillä oli ihanaa.	Ajsi oofen fainkava.
421	LIKING	PITÄMINEN	ÖBRAATE
422	What do you like about Moscow?	Mitä pidätte Moskovasta?	Ko jasi öbraa Moskov?
423	Do you like our city?	Pidättekö meidän kaupungistamme?	Öbraako jasi ajsiof taun?
424	He is absolutely in love with this city.	Hän on kerrassaan ihastunut tähän kaupunkiin.	Hä oo isna a autfainkaaen ob tä taun.
425	Do you like traveling?	Pidättekö te matkustelemisesta?	Öbraako jasi rotuu?
426	Well did you like the song?	No pidittekö laulusta?	Noa öbraaenko jasi hösa?
427	Which one do you prefer a skirt or pants?	Kummasta pidätte enemmän hameesta vai housuista?	Dutajko jasi öbraa pir skötvat taj harvat?
428	I love him.	Rakastan häntä.	Aj raa hä.
429	He likes fishing.	Hän pitää kalastamisesta.	Hä öbraa fiis.
430	I don't like swimming in the ocean.	En pidä meressä uimisesta.	Aj ej öbraa in fovamlo vuu.
431	I do not like this.	En pidä tästä.	Aj ej öbraa tä.
432	What did you like the most?	Mikä teitä miellytti kaikkein eniten?	Ko jasi mihaaen kiob pist?
433	She likes to travel by train.	Hän matkustaa mielellään junalla.	Hä rotuu mihali vy fetuvö.
434	Do you enjoy watching hockey?	Katseletko mielelläsi jääkiekkoa?	Sikaako ja mihali kalmraunit?
435	Do you enjoy traveling by boat?	Matkustatteko mielellänne laivalla?	Rotuuko jasi mihali vy vuvö?
436	Let's go preferably to the cafe!	Mennään mieluummin kahvilaan!	Tuuta mihapirli intu kofvemlo!
437	We have a nice room.	Meillä on mukava huone.	Ajsi oof hamiva tolik.
438	Well done, but not today.	Mielihyvin, mutta ei tänään.	Mihali, mut ej tätanna.
439	Don't want to sing today.	Tänään ei haluta laulaa.	Tätanna ej ofraa hösaa.
440	Not particularly.	En erityisemmin.	Aj ej eröpirli.
441	This is a very popular song these days.	Tämä on hyvin suosittu kappale nykyään.	Tä oo hali hapircueen öik nenna.
442	Which author do you have the most popular with today?	Mikä kirjailija teillä on nykyään kaikkein suosituin?	Kojo rokiirjo jasi oof nenna kiob hapircust?
443	INTEREST	MIELENKIINTO	RUHAMI
444	This book is more interesting than that.	Tämä kirja on mielenkiintoisempi kuin tuo.	Tä kirto oo ruhamipir il ät.
445	That's really interesting.	Sepä on todella mielenkiintoista.	It a oo rilli ruhamiva.
446	We watched the show with interest.	Katselimme esitystä mielenkiinnolla.	Ajsi kaaen edtuka vi ruhami.
447	This is a very interesting case.	Se on hyvin mielenkiintoinen tapaus.	It oo hali ruhamiva obhäp.
448	Look, there is an interesting book!	Katsokaa, tuossa on mielenkiintoinen kirja!	Kaa jasi, ätin oo ruhamiva kirto.
449	The theme of the evening is interesting.	Illan aihe on mielenkiintoinen.	Ennat obso oo ruhamiva.
450	What is he interested in?	Mistä hän on kiinnostunut?	Koöb hä oo ruhamiien?
451	It doesn't interest me.	Se ei kiinnosta minua.	It ej ruhamii ja.
452	He is interested in everything.	Hän on kaikesta kiinnostunut.	Hä öb ki ruhamii.
453	EXPRESSIONS OF EMOTION	TUNTEENILMAISUJA	FI KAUTSASI
454	Oh how great!	Voi miten hienoa!	Voi koli väkava!
455	Oh how fun!	Voi miten hauskaa!	Voi koli hehobva!
456	Yes he did!	Kylläpäs onnisti!	Je a saaken.
457	Great!	Hienoa!	Väkava!
458	Excellent!	Erinomaista!	Erhava!
459	Unbelievable!	Uskomatonta!	Uusejva!
460	Really?	Ihanko totta?	Fulliko daril?
461	What are you talking about!	Mitä sinä oikein puhut!	Ko ja ratli sasaa!
462	This can not be true!	Ei voi olla totta!	Ej voo oo daril.
