English	Finnish	Vosa
Russians living abroad could have been attracted to move to Russia from the former Soviet republics to a prosperous Russia.	Ulkovenäläisiä olisi voinut houkutella muuttamaan Venäjälle entisistä neuvostotasavalloista hyvinvoivalle Venäjälle.	Nnirusjosi ooif vooen mipoaag erlotuu tu Ruslo ut enva Lisasiovipölo talpöhylsi tu halivoova Ruslo.
In this way, good relations with the Slavic brotherly nations, the rest of Europe and the world would have been preserved.	Näin hyvät suhteet slaavilaisiin veljeskansoihin, muuhun Eurooppaan ja maailmaan olisi säilynyt.	Täli hava vicusi intu slavva bajsonshyjsi, tua Eurlo a köl ooif lienooen.
Russia, in cooperation with the rest of the world, would have created a truly economically prosperous superpower from Russia.	Venäjä yhteistyössä koko muun maailman kanssa olisi luonut Venäjästä taloudellisen hyvinvoivan todellisen suurvallan.	Ruslo in vitö vi kio tua köl ooif novtee-en ob Ruslo rostava halivoova rilva pihyl.
Although Japan and Germany are small in area, they have been economically strong and large.	Vaikka Japani ja Saksa ovat pinta-alaltaan pieniä, ovat ne olleet taloudellisesti vahvoja ja suuria.	Tajli Japlo a Germlo oo vy laori ipva, oo itsi ooen rostali povova a piva.
So a large area does not guarantee economic success.	Siis ei laaja pinta-ala takaa taloudellista menestystä.	Syklirli ej leileiva laori rovaarm rostava hasak.
Short distances save on transportation costs and are efficient	Lyhyet välimatkat säästävät kuljetusmenoissa ja on tehokasta	Ulva välturi ropaoo gagrovripsi a oo ysriva.
If the Russian opposition had been allowed to act on an equal footing and nominate candidates in elections, stupid decisions about wars that cause a lot of death and destruction would not have been made.	Kun Venäjän oppositio olisi tasaveroisena saanut toimia ja asettaa ehdokkaita vaaleissa, niin tyhmiä päätöksiä paljon kuolemaa ja tuhoa aiheuttavista sodista ei olisi tullut.	Na Ruslo-of ögsio ooif li tallireva aafen otee a lopaa ifojosi in pöurkasi, itli sivva pätsi öb piri eön a kirek syyva sipsi ej ooif uuten.
And good ideas would come when the whole nation was in the decision-making process.	Ja hyviä ideoita tulisi, kun koko kansa olisi päättämässä asioista.	A hava ideasi uutif, na kio hyj ooif päätnen öb sosi.
There would be no need to rule with fear, coercion, and power politics, with violence.	Ei tarvitsisi hallita pelolla, pakolla ja voimapolitikalla, väkivallalla.	Ej niidif pötee vy rak pit a popögöte, popitpö.
If Russia had a genuine and even better democracy and civil society than in many other countries, Russia would have become a model state in the world, with which people would want to cooperate and follow suit.	Kun Venäjällä olisi aito ja vielä parempi demokratia ja kansalaisyhteiskunta kuin monissa muissa maissa, Venäjästä olisi tullut mallivaltio maailmassa, jonka kanssa haluttaisiin tehdä yhteistyötä ja ottaa mallia.	Na in Ruslo ooif rorilva a pirnen hapir talpö a hyjjovisoslo il in si tuasi hylsi, ob Ruslo ooif uuten likato pöhyl in köl, kovi ofraataif tee vitö a aap likato.
In this way, Russia would be highly respected in the world.	Näin Venäjä olisi hyvin arvostettu maailmalla.	Täli Ruslo ooif errili rocuuen in köl.
All kinds of crooked, wrong, false, and evil means do not bring success, they are not sustainable development.	Kaikenlaiset kierot, väärät, valheelliset, ilkeät keinot eivät tuo menestystä, ne eivät ole kestävää kehitystä.	Kiliva ierva, tarva, lirva, ahcuva livotesi ej aag hasak, itsi ej oo noaapva dev.
Good morality in everything would have brought prosperity and lasting peace to Russia and the whole world.	Hyvä moraali kaikessa olisi tuonut Venäjälle ja koko maailmalle hyvinvointia ja kestävän rauhan.	Hava cuhah in ki ooif aagen tu Ruslo a kio köl halivoote a noaapva pis.
No funds would be spent on armaments, and the environment would also be saved this way.	Asevarusteluun ei menisi varoja ja ympäristökin säästyisi näin.	Intu sipvosipaate ej tuuif resrosi a ali raulo autropaooif täli.
Ukraine has participated in wars for Russia and suffered famine during Stalin's time.	Ukraina on osallistunut sotiin Venäjän puolesta ja kärsinyt nälänhätää Stalinin aikana.	Ukrainlo oo ikaapen sipsi gö Ruslo a saafen emnidahsta na Stalinof no.
It is reasonable that Ukraine should be allowed to keep Eastern Ukraine and Crimea.	On kohtuullista, että Ukraina saisi pitää Itä-Ukrainan ja Krimin.	Oo obnidriva, syt Ukrainlo aafif paoo Tev-Ukrainlo a Krim.
Now Russia should pay for the reconstruction of the destruction of Eastern Ukraine and withdraw all its troops from Ukraine and the former Soviet republics and let them decide their own affairs completely independently.	Nyt Venäjän pitäisi maksaa Itä-Ukrainan tuhon jälleenrakentaminen ja vetää kaikki joukkonsa pois Ukrainasta ja entisistä neuvostotasavalloista ja antaa niiden täysin itsenäisesti päättää omista asioistaan.	Nen Ruslo piitif rovfaa Tev-Ukrainlo kirek, dunentoolte a poaag ki itof sipjosiosi yr ut Ukrainlo a enva Lisasiovipölo talpöhylsi a faa itsi fulli autnali päät öb öfva sosi.
In this way, Russia would restore trust and respect to all other countries.	Näin Venäjä palauttaisi luottamuksen ja arvostuksen kaikkiin muihin maihin.	Täli Ruslo retupaaif uscu a rocuo intu ki tua hylsi.
Fair elections should be held in Russia, Hungary and Belarus, because the governments of these countries have gained and hold power through injustice.	Venäjällä, Unkarissa ja Valko-Venäjällä pitäisi pitää reilut vaalit, sillä näiden maiden hallinto on vääryydellä saanut valtansa ja pitää valtaa.	In Ruslo, Unglo a Vitruslo piitif paoo harocuva pöurkasi, syfor täsiof hylsi pöte oo vy tarvao aafen häsiof pö a paoo pö.
If we think about the long eternity where the soul spends, when all temporal things are destroyed and disappear at the end of time and for each person already at death, the more a person has sinned, the hotter the eternal hell will be, when a person has not repented of his sins and received them forgiveness by believing in the gospel of the Kingdom of God, the remission of sins preached in the Holy Spirit.	Jos ajatellaan pitkää iankaikkisuutta, missä sielu viettää, kun kaikki ajallinen hävitetään ja katoaa maalimanlopussa ja kullekin henkilöille jo kuolemassa, mitä enemmän ihminen on tehnyt syntiä, sitä kuumempi on ikuinen helvetti, kun ihminen ei ole tehnyt parannusta synneistään ja saanut niitä anteeksi Jumalan valtakunnan Pyhässä Hengessä saarnatun evankeliumin, synninpäästön uskomisella.	If soota luva kikino, koin hoj notee, na ki ofnova häävta a kayyr in kölön a for obki hojosi ripnen in eön, ko pir mäm oo tee-en aho, it läkpir oo kinova ahlo, na mäm ej oo tee-en hapiirte ob häof ahosi a aafen itsi ahhafali vy Hajo pöhyl in Pyhva Ho ussasaaen rossa, ahofapa uuste.
No false spirituality will save, even if billions of people participate in them, it will not prove them to be true.	Mikään väärä hengellisyys ei pelasta, vaikka niissä olisi mukana miljardeja ihmisiä, se ei todista niitä oikeiksi.	Ejö tarva hovao ej hovyy, tajli in itsi ooif ofvi gussi mämsi, it ej dariil itsi mu ratva.
Man's good works, deeds and sufferings do not save the soul, living true faith is God's work from beginning to end, a person should only accept God's grace and not resist it.	Ihmisen hyvät työt teot ja kärsimykset eivät pelasta sielua, elävä oikea usko on Jumalan teko kokonaan alusta loppuun, ihmisen pitäisi vain ottaa vastaan Jumalan armo eikä vastustaa sitä.	Mäm hava tösi, tesi a safsi ej hovyy hoj, eeva ratva us oo Hajo-of te kioli ut nö tu ön, mäm piitif erisli ögaap Hajo-of hacuah a ej öög it.
Now people idolize power, honor, wealth, lust of the flesh, pleasures, perishable values, and the eternal bliss of the soul remains unattainable.	Nyt ihmiset jumaloivat valtaa kunniaa, rikkautta, hekumaa, nautintoja, katoavia arvoja ja sielun ikuinen autuus jää saavuttamatta.	Nen mämsi hajoo pö, hon, ritsvao, ahofrao, rosapsi, kayyrva rosi a hoj kinova pyhrosvao jää obaafejli.
People blatantly violate God's commandments and word, and do not repent, they are in the peace of hardening, stubbornness and false and self-righteousness, where they are destined for eternal torment and perdition, and do not enter the joy and happiness of heaven.	Ihmiset rikkovat räikeästi Jumalan käskyjä ja sanaa vastaan, eivätkä tee parannusta, ovat suruttomuuden, paatumuksen, itsekkyyden väärän ja oman vanhurskauden rauhassa, missä ne joutuvat ikuiseen vaivaan ja kadotukseen, eivät pääse taivaan iloon ja onneen.	Mämsi ahreek erahkali Hajo pötusasi a ög Hajo sa a häsi ej tee hapiirte, oo in sorejva, hahfikaamte autcuvao, tarva a autushavao pis, koin itsi auttuu intu kinova tesaf a pakayyrte, häsi ej aftuu intu halo ros a sak.
No good that lasts in time and forever can be achieved by any evil and unrighteousness.	Mitään ajallisesti ja ikuisesti kestävää hyvää ei millään pahuudella ja vääryydellä saavuteta.	Ejö ofnoli a kinoli noaapva hava ej kovy ahvao a tarvao obaafta.
In the days of Noah, the world was destroyed by water, soon God will destroy it by fire and the last judgment will begin.	Nooan päivinä maailma hävitettiin vedellä, kohta Jumala hävittää sen tulella ja alkaa viimeinen tuomio.	Na Noa tansi köl hääventa vy vam, ipne Hajo hääv it vy bön a nöö önva pöcuute.
It has been useless to pursue what is perishable with unrighteousness.	Turhaa on ollut vääryydellä tavoitella katoavaa.	Nidejva oo ooen vy tarvao siobtraa kayyrva.
The time of grace is short.  	Armon aikaa on enää vähän. 	Hacuah no oo pirnen ipri.
People should repent today, seek first the kingdom of God and true saving righteousness, because tomorrow it may be too late.	Ihmisten pitäisi tehdä parannus jo tänään, etsiä ensin Jumalan valtakunta ja oikea pelastava vanhurskaus, sillä huomenna se voi olla jo myöhäistä.	Mämsi piitif tee hapiirte ripnen tätanna, seek isvana Hajo-of pöhyl a ratva hovyyva ushavao, syfor detanna it voo oo ripnen ylnava.
		
Ideas for problem solutions	Ajatuksia ongelmien ratkaisuista	Sootesi öb onggnoote 
Problems and development needs meet solutions or solutions meet problems.	Ongelmat ja kehittämistarpeet kohtaavat ratkaisut tai ratkaisut kohtaavat ongelmat.	Ongsi a devnidsi obtuu gnosi taj gnosi obtuu ongsi.
Solutions are sought for problems and problems are sought for solutions.	Ongelmiin etsitään ratkaisuja ja ratkaisuihin etsitään ongelmia.	Tu ongsi seekta gnosi a tu gnosi seekta ongsi.
A solution can be a product, service, method, development, an influential opinion that brings about change, etc.	Ratkaisu voi olla tuote, palvelu, menetelmä, kehittäminen, vaikuttava mielipide, joka saa muutosta aikaan jne.	Gno voo oo to, seerte, culite, deevte, yysva micu, ko tonoaaf temuo aid.(a itli depirna).
Structure problems systematically and even find partial solutions to them.	Ongelmien jäsentely järjestelmällisesti ja niihin edes osaratkaisujen löytäminen.	Sivejäärte ongsi lijärli a tu itsi ipripstli keeste ikgnosi.
Problems can be like a vicious circle or a chain reaction.	Ongelmat voivat olla kuin noidankehä tai ketjureaktio.	Ongsi voo oo li ahmägjo larau taj siviring ysok.
Problems cause new problems.	Ongelmat aiheuttavat uusia ongelmia.	Ongsi syy novva ongsi.
Information is obtained from experiences, by reading, doing, researching, from others and yourself.	Tietoa saa kokemuksista, lukemalla, tekemällä, tutkimalla, muilta ja itseltä.	Öbda aaf ut davofisi, vy riik, tee, dakaa, ut tuasi a aut.
What is the shortest path from a problem to a solution?	Mikä on lyhin tie ongelmasta ratkaisuun?	Ko oo ulst tul ut ong tu gno?
Linguistic, conceptual, technical, artistic, social, etc. talent is needed.	Tarvitaan kielellistä, käsitteellistä, teknillistä, taidollista, sosiaalista jne.lahjakkuutta.	Niidta vosva, vosova, tekva, livoteva, sosva aid.tofavao.
Problems and solutions have many details and combinations, a combinatorial explosion can occur.	Ongelmissa ja ratkaisussa on paljon yksityiskohtia ja yhdistelmiä, voi tulla kombinatorinen räjähdys.	In ongsi a gnosi oo piri tarkiplosi a vipasi, meej uut visipava homrek.
Not all solutions produce financial benefits, but other benefits that can also be reflected financially.	Kaikki ratkaisut eivät tuota taloudellista hyötyä, mutta muuta hyötyä, joka voi heijastua myös taloudellisesti.	Ki gnosi ej too rostava göro, mut tua göro, ko voo autrekaa ali rostali.
Problems and solutions also have time, place, speed, impact, importance, difficulty, impossibility, self-evidentity.	Ongelmilla ja ratkaisuilla on myös aika, paikka, nopeus, vaikuttavuus, tärkeys, vaikeus, mahdottomuus, itsestään selvyys.	Ongsi a gnosi oof ali no, lo, nopri, yysvao, curovao, ongvao, ejvovao, autteli soklirvao.
One should understand existence as a whole, which is impossible, so the problem area with its connections must be delimited.	Olisi ymmärrettävä olevaisuus kokonaisuudessaan, mikä on mahdotonta, jotenka on rajattava ongelma-alue liittymäkohtineen.	Piitif dakavoo oovao in itof kiovao, ko oo ejvova, itsy a piit liim ongleilo vi limlao iplosi.
Don't take it too difficult, keep it simple.	Ei oteta liian vaikeasti, pidetään se yksinkertaisena.	Ej aapta ylrili ongli, paoota it isgnova.
But even complex methods can achieve good results if the solutions require them.	Mutta myös monimutkaisilla tavoilla voidaan päästä hyviin tuloksiin, jos ratkaisut niitä vaativat.	Mut ali vy siongva liosi voota aftuu hava utrosi, if gnosi teniid it.
Problems will come up and problems should also be intentionally mapped, everyone can do it.	Ongelmia tulee vastaan ja ongelmia pitäisi myös tarkoituksellisesti kartoittaa, jokainen voi sitä tehdä.	Ongsi uut ög a ongsi piitif ali obrooli kalotoo, kijosi voo it tee.
How could it be even better, development needs?	Miten voisi olla vielä paremmin, kehitystarpeet?	Koli vooif oo pirnen hapirli, devnidsi?
Problems can be sought and mapped by oneself and others for others.	Ongelmia voi etsiä ja kartoittaa itse ja muut toisten puolesta.	Ongsi voo seek a kalotoo aut a tuasi gö tuasi.
Often the cause of problems is a lack of money.	Monesti ongelmien syynä on rahan puute.	Sina li sy of ongsi oo rov ejofri.
But when there is a lack of money, one should look for savings and where to get money, how to handle the same things more efficiently and cheaper.	Mutta kun on puute rahasta, pitäisi etsiä säästämiskohteita ja mistä saisi hankittua rahaa, miten samat asiat voitaisiin hoitaa tehokkaammin ja halvemmalla.	Mut na oo ejofri ob rov, piitif seek ropaoote obsi a kout aafif foraafen rov, koli re sosi vooifta hakee ysripirli a lyrovpirli.
Solving problems requires ingenuity, information acquisition and interaction with others.	Ongelmien ratkaisuun tarvitaan kekseliäisyyttä, tietojen hankintaa ja vuorovaikutusta muiden kanssa.	For ongsi gno niidta ideavovao, foraafte öbdasi a altys vi tuasi.
What solutions can I come up with and what have others already come up with.	Mitä ratkaisuja voin keksiä ja mitä muut ovat jo keksineet.	Kosi gnosi aj voo ideavoo a kosi tuasi oo ripnen ideavooen.
Good cooperation and brainstorming can help find solutions and improvements to problems.	Hyvällä yhteistyöllä ja pitämällä aivoriihtä, tuumailemalla voidaan löytää ratkaisuvaihtoehtoja ja parannuksia ongelmiin.	Vy hava vitö a paoo ideahäp, vy öbsoo voota kees gnotajifosi a hapiirtesi tu ongsi.
The problem must be divided into sub-problems and at least a partial solution or relief sought.	Ongelma pitää jakaa osaongelmiin ja etsiä edes osittaista ratkaisua tai helpotusta.	Ong piit iik tu ikongsi a seek ipripstli ikliva gno taj gnopiirte.
